,aclu_id,name,official_name,party,district,state,legislator_type,zeroed_district,congressional_district
386,aclu/elections-api/congress_legislator:746,,C. A. Dutch Ruppersberger,Democrat,2,MD,rep,2,2402
387,aclu/elections-api/congress_legislator:748,Elijah Cummings,Elijah E. Cummings,Democrat,7,MD,rep,7,2407
388,aclu/elections-api/congress_legislator:11549,,David J. Trone,Democrat,6,MD,rep,6,2406
389,aclu/elections-api/congress_legislator:752,Steny Hoyer,Steny H. Hoyer,Democrat,5,MD,rep,5,2405
390,aclu/elections-api/congress_legislator:751,,John P. Sarbanes,Democrat,3,MD,rep,3,2403
391,aclu/elections-api/congress_legislator:749,,Jamie Raskin,Democrat,8,MD,rep,8,2408
392,aclu/elections-api/congress_legislator:11618,,Kweisi Mfume,Democrat,7,MD,rep,7,2407
393,aclu/elections-api/congress_legislator:744,,Anthony G. Brown,Democrat,4,MD,rep,4,2404
394,aclu/elections-api/congress_legislator:11546,,Steve Watkins,Republican,2,KS,rep,2,2002
395,aclu/elections-api/congress_legislator:11545,Sharice Davids,Sharice Davids,Democrat,3,KS,rep,3,2003
396,aclu/elections-api/congress_legislator:714,,Roger W. Marshall,Republican,1,KS,rep,1,2001
397,aclu/elections-api/congress_legislator:711,Kevin Yoder,Kevin Yoder,Republican,3,KS,rep,3,2003
398,aclu/elections-api/congress_legislator:712,Lynn Jenkins,Lynn Jenkins,Republican,2,KS,rep,2,2002
399,aclu/elections-api/congress_legislator:715,Ron Estes,Ron Estes,Republican,4,KS,rep,4,2004
400,aclu/elections-api/congress_legislator:820,,Don Bacon,Republican,2,NE,rep,2,3102
401,aclu/elections-api/congress_legislator:821,Jeff Fortenberry,Jeff Fortenberry,Republican,1,NE,rep,1,3101
402,aclu/elections-api/congress_legislator:817,Adrian Smith,Adrian Smith,Republican,3,NE,rep,3,3103
403,aclu/elections-api/congress_legislator:666,Colleen Hanabusa,Colleen Hanabusa,Democrat,1,HI,rep,1,1501
404,aclu/elections-api/congress_legislator:668,Tulsi Gabbard,Tulsi Gabbard,Democrat,2,HI,rep,2,1502
