aclu_id,official_name,party,district,state,legislator_type,congressional_district
aclu/elections-api/congress_legislator:919,Mike Kelly,Republican,16,PA,rep,4216
aclu/elections-api/congress_legislator:11661,Deborah K. Ross,Democrat,2,NC,rep,3702
aclu/elections-api/congress_legislator:813,Walter B. Jones,Republican,3,NC,rep,3703
aclu/elections-api/congress_legislator:11662,Kathy E. Manning,Democrat,6,NC,rep,3706
aclu/elections-api/congress_legislator:808,Richard Hudson,Republican,8,NC,rep,3708
aclu/elections-api/congress_legislator:805,Mark Walker,Republican,6,NC,rep,3706
aclu/elections-api/congress_legislator:802,G. K. Butterfield,Democrat,1,NC,rep,3701
aclu/elections-api/congress_legislator:804,Mark Meadows,Republican,11,NC,rep,3711
aclu/elections-api/congress_legislator:809,Robert Pittenger,Republican,9,NC,rep,3709
aclu/elections-api/congress_legislator:799,Alma S. Adams,Democrat,12,NC,rep,3712
aclu/elections-api/congress_legislator:803,George Holding,Republican,2,NC,rep,3702
aclu/elections-api/congress_legislator:810,Ted Budd,Republican,13,NC,rep,3713
aclu/elections-api/congress_legislator:11660,Madison Cawthorn,Republican,11,NC,rep,3711
aclu/elections-api/congress_legislator:812,Virginia Foxx,Republican,5,NC,rep,3705
aclu/elections-api/congress_legislator:806,Patrick T. McHenry,Republican,10,NC,rep,3710
aclu/elections-api/congress_legislator:801,David Rouzer,Republican,7,NC,rep,3707
aclu/elections-api/congress_legislator:11614,Gregory F. Murphy,Republican,3,NC,rep,3703
aclu/elections-api/congress_legislator:800,David E. Price,Democrat,4,NC,rep,3704
aclu/elections-api/congress_legislator:11613,Dan Bishop,Republican,9,NC,rep,3709
aclu/elections-api/congress_legislator:11562,Kelly Armstrong,Republican,0,ND,rep,3800
aclu/elections-api/congress_legislator:842,Michelle Lujan Grisham,Democrat,1,NM,rep,3501
aclu/elections-api/congress_legislator:11569,Xochitl Torres Small,Democrat,2,NM,rep,3502
aclu/elections-api/congress_legislator:11664,Yvette Herrell,Republican,2,NM,rep,3502
aclu/elections-api/congress_legislator:843,Stevan Pearce,Republican,2,NM,rep,3502
aclu/elections-api/congress_legislator:11663,Teresa Leger Fernandez,Democrat,3,NM,rep,3503
aclu/elections-api/congress_legislator:11568,Debra A. Haaland,Democrat,1,NM,rep,3501
aclu/elections-api/congress_legislator:829,Christopher H. Smith,Republican,4,NJ,rep,3404
aclu/elections-api/congress_legislator:839,Thomas MacArthur,Republican,3,NJ,rep,3403
aclu/elections-api/congress_legislator:11567,Tom Malinowski,Democrat,7,NJ,rep,3407
aclu/elections-api/congress_legislator:11564,Andy Kim,Democrat,3,NJ,rep,3403
aclu/elections-api/congress_legislator:826,Albio Sires,Democrat,8,NJ,rep,3408
aclu/elections-api/congress_legislator:833,Frank A. LoBiondo,Republican,2,NJ,rep,3402
aclu/elections-api/congress_legislator:838,Rodney P. Frelinghuysen,Republican,11,NJ,rep,3411
aclu/elections-api/congress_legislator:832,"Donald M. Payne, Jr.",Democrat,10,NJ,rep,3410
aclu/elections-api/congress_legislator:11566,Mikie Sherrill,Democrat,11,NJ,rep,3411
aclu/elections-api/congress_legislator:834,"Frank Pallone, Jr.",Democrat,6,NJ,rep,3406
aclu/elections-api/congress_legislator:835,Josh Gottheimer,Democrat,5,NJ,rep,3405
aclu/elections-api/congress_legislator:827,"Bill Pascrell, Jr.",Democrat,9,NJ,rep,3409
aclu/elections-api/congress_legislator:836,Leonard Lance,Republican,7,NJ,rep,3407
aclu/elections-api/congress_legislator:828,Bonnie Watson Coleman,Democrat,12,NJ,rep,3412
aclu/elections-api/congress_legislator:831,Donald Norcross,Democrat,1,NJ,rep,3401
aclu/elections-api/congress_legislator:11565,Jefferson Van Drew,Republican,2,NJ,rep,3402
aclu/elections-api/congress_legislator:755,Chellie Pingree,Democrat,1,ME,rep,2301
aclu/elections-api/congress_legislator:754,Bruce Poliquin,Republican,2,ME,rep,2302
aclu/elections-api/congress_legislator:11550,Jared F. Golden,Democrat,2,ME,rep,2302
aclu/elections-api/congress_legislator:791,Gregorio Kilili Camacho Sablan,Democrat,0,MP,rep,6900
aclu/elections-api/congress_legislator:532,Steve Womack,Republican,3,AR,rep,0503
aclu/elections-api/congress_legislator:530,J. Hill,Republican,2,AR,rep,0502
aclu/elections-api/congress_legislator:529,"Eric A. ""Rick"" Crawford",Republican,1,AR,rep,0501
aclu/elections-api/congress_legislator:528,Bruce Westerman,Republican,4,AR,rep,0504
aclu/elections-api/congress_legislator:847,Dina Titus,Democrat,1,NV,rep,3201
aclu/elections-api/congress_legislator:850,Ruben J. Kihuen,Democrat,4,NV,rep,3204
aclu/elections-api/congress_legislator:11571,Susie Lee,Democrat,3,NV,rep,3203
aclu/elections-api/congress_legislator:849,Mark E. Amodei,Republican,2,NV,rep,3202
aclu/elections-api/congress_legislator:11570,Steven Horsford,Democrat,4,NV,rep,3204
aclu/elections-api/congress_legislator:616,Eleanor Holmes Norton,Democrat,0,DC,rep,1100
aclu/elections-api/congress_legislator:743,Andy Harris,Republican,1,MD,rep,2401
aclu/elections-api/congress_legislator:750,John K. Delaney,Democrat,6,MD,rep,2406
aclu/elections-api/congress_legislator:746,C. A. Dutch Ruppersberger,Democrat,2,MD,rep,2402
aclu/elections-api/congress_legislator:748,Elijah E. Cummings,Democrat,7,MD,rep,2407
aclu/elections-api/congress_legislator:11549,David J. Trone,Democrat,6,MD,rep,2406
aclu/elections-api/congress_legislator:752,Steny H. Hoyer,Democrat,5,MD,rep,2405
aclu/elections-api/congress_legislator:751,John P. Sarbanes,Democrat,3,MD,rep,2403
aclu/elections-api/congress_legislator:749,Jamie Raskin,Democrat,8,MD,rep,2408
aclu/elections-api/congress_legislator:11618,Kweisi Mfume,Democrat,7,MD,rep,2407
aclu/elections-api/congress_legislator:744,Anthony Brown,Democrat,4,MD,rep,2404
aclu/elections-api/congress_legislator:11546,Steve Watkins,Republican,2,KS,rep,2002
aclu/elections-api/congress_legislator:11545,Sharice Davids,Democrat,3,KS,rep,2003
aclu/elections-api/congress_legislator:11652,Jake LaTurner,Republican,2,KS,rep,2002
aclu/elections-api/congress_legislator:711,Kevin Yoder,Republican,3,KS,rep,2003
aclu/elections-api/congress_legislator:11653,Tracey Mann,Republican,1,KS,rep,2001
aclu/elections-api/congress_legislator:712,Lynn Jenkins,Republican,2,KS,rep,2002
aclu/elections-api/congress_legislator:715,Ron Estes,Republican,4,KS,rep,2004
aclu/elections-api/congress_legislator:820,Don Bacon,Republican,2,NE,rep,3102
aclu/elections-api/congress_legislator:821,Jeff Fortenberry,Republican,1,NE,rep,3101
aclu/elections-api/congress_legislator:817,Adrian Smith,Republican,3,NE,rep,3103
aclu/elections-api/congress_legislator:666,Colleen Hanabusa,Democrat,1,HI,rep,1501
aclu/elections-api/congress_legislator:668,Tulsi Gabbard,Democrat,2,HI,rep,1502
aclu/elections-api/congress_legislator:11644,Kaiali’i Kahele,Democrat,2,HI,rep,1502
aclu/elections-api/congress_legislator:11535,Ed Case,Democrat,1,HI,rep,1501
aclu/elections-api/congress_legislator:618,Lisa Blunt Rochester,Democrat,0,DE,rep,1000
aclu/elections-api/congress_legislator:534,Aumua Amata Coleman Radewagen,Republican,0,AS,rep,6000
aclu/elections-api/congress_legislator:542,Raúl M. Grijalva,Democrat,3,AZ,rep,0403
aclu/elections-api/congress_legislator:535,Andy Biggs,Republican,5,AZ,rep,0405
aclu/elections-api/congress_legislator:544,Tom O’Halleran,Democrat,1,AZ,rep,0401
aclu/elections-api/congress_legislator:536,David Schweikert,Republican,6,AZ,rep,0406
aclu/elections-api/congress_legislator:543,Ruben Gallego,Democrat,7,AZ,rep,0407
aclu/elections-api/congress_legislator:1043,Debbie Lesko,Republican,8,AZ,rep,0408
aclu/elections-api/congress_legislator:541,Paul A. Gosar,Republican,4,AZ,rep,0404
aclu/elections-api/congress_legislator:11516,Greg Stanton,Democrat,9,AZ,rep,0409
aclu/elections-api/congress_legislator:11515,Ann Kirkpatrick,Democrat,2,AZ,rep,0402
aclu/elections-api/congress_legislator:11669,Ritchie Torres,Democrat,15,NY,rep,3615
aclu/elections-api/congress_legislator:874,Peter T. King,Republican,2,NY,rep,3602
aclu/elections-api/congress_legislator:859,Elise M. Stefanik,Republican,21,NY,rep,3621
aclu/elections-api/congress_legislator:853,Carolyn B. Maloney,Democrat,12,NY,rep,3612
aclu/elections-api/congress_legislator:877,Tom Reed,Republican,23,NY,rep,3623
aclu/elections-api/congress_legislator:862,Hakeem S. Jeffries,Democrat,8,NY,rep,3608
aclu/elections-api/congress_legislator:857,"Daniel M. Donovan, Jr.",Republican,11,NY,rep,3611
aclu/elections-api/congress_legislator:878,Yvette D. Clarke,Democrat,9,NY,rep,3609
aclu/elections-api/congress_legislator:870,Lee M. Zeldin,Republican,1,NY,rep,3601
aclu/elections-api/congress_legislator:11667,Mondaire Jones,Democrat,17,NY,rep,3617
aclu/elections-api/congress_legislator:872,Nydia M. Velázquez,Democrat,7,NY,rep,3607
aclu/elections-api/congress_legislator:876,Thomas R. Suozzi,Democrat,3,NY,rep,3603
aclu/elections-api/congress_legislator:863,Jerrold Nadler,Democrat,10,NY,rep,3610
aclu/elections-api/congress_legislator:868,Kathleen M. Rice,Democrat,4,NY,rep,3604
aclu/elections-api/congress_legislator:11572,Alexandria Ocasio-Cortez,Democrat,14,NY,rep,3614
aclu/elections-api/congress_legislator:11574,Antonio Delgado,Democrat,19,NY,rep,3619
aclu/elections-api/congress_legislator:11576,Max Rose,Democrat,11,NY,rep,3611
aclu/elections-api/congress_legislator:875,Sean Patrick Maloney,Democrat,18,NY,rep,3618
aclu/elections-api/congress_legislator:856,Claudia Tenney,Republican,22,NY,rep,3622
aclu/elections-api/congress_legislator:11620,Chris Jacobs,Republican,27,NY,rep,3627
aclu/elections-api/congress_legislator:851,Adriano Espaillat,Democrat,13,NY,rep,3613
aclu/elections-api/congress_legislator:865,John Katko,Republican,24,NY,rep,3624
aclu/elections-api/congress_legislator:11668,Nicole Malliotakis,Republican,11,NY,rep,3611
